,LINE_NO,UTMX,UTMY,RECORD,ELEVATION,RHO_I_1,RHO_I_2,RHO_I_3,RHO_I_4,RHO_I_5,RHO_I_6,RHO_I_7,RHO_I_8,RHO_I_9,RHO_I_10,RHO_I_11,RHO_I_12,RHO_I_13,RHO_I_14,RHO_I_15,RHO_I_16,RHO_I_17,RHO_I_18,RHO_I_19,RHO_I_20,RHO_I_21,RHO_I_22,RHO_I_23,RHO_I_24,RHO_I_25,RHO_I_26,RHO_I_27,RHO_I_28,RHO_I_29,RHO_I_30,THK_1,THK_2,THK_3,THK_4,THK_5,THK_6,THK_7,THK_8,THK_9,THK_10,THK_11,THK_12,THK_13,THK_14,THK_15,THK_16,THK_17,THK_18,THK_19,THK_20,THK_21,THK_22,THK_23,THK_24,THK_25,THK_26,THK_27,THK_28,THK_29,DOI_STANDARD,PCT_DIFF
10,21415.0,448912.2,1364715.2,29010.0,258.5,1578.1881177953142,1578.238908535279,1578.3549474784481,1578.5538169371089,1578.8567822539183,1579.2895456454692,1579.8832760355842,1580.6754562064511,1581.710950405954,1583.0433076374793,1584.7360785100911,1586.864238716149,1589.5162810399163,1592.7952607701777,1596.8188585213745,1601.7236073704244,1607.6624468433865,1614.804325477268,1623.331890467884,1633.434758449416,1645.30305980944,1659.1096544895108,1674.9916688697126,1693.0246865506194,1713.1859844480784,1735.302590350086,1759.0125089447613,1783.719906633293,1808.565205105532,1808.565205105532,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,16.801799811153646
11,21415.0,448956.2,1364744.0,29011.0,257.1,1675.0138924104447,1675.0449112801514,1675.1157795806155,1675.2372390939527,1675.4222772966307,1675.6865784241118,1676.0491543636801,1676.5328735000053,1677.165112771655,1677.97853710752,1679.0118921800856,1680.3108754467053,1681.929409249326,1683.9302645503383,1686.385087250121,1689.3769721616702,1692.9989751350865,1697.3538896962907,1702.552911932246,1708.7116748095973,1715.9466036439894,1724.364561494,1734.052413198098,1745.0625164485746,1757.39205692705,1770.9534928536712,1785.5530402098857,1800.864697523449,1816.4107979419648,1816.4107979419648,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,20.49401510398044
12,21415.0,449000.8,1364773.7,29012.0,255.9,1717.3748958596434,1717.3970545540767,1717.4476812018197,1717.5344521194415,1717.6666470504795,1717.8554676966037,1718.1144898817583,1718.4600478166672,1718.9117023239437,1719.4927930068434,1720.2310028083082,1721.1589867461248,1722.3152880277241,1723.7447881099122,1725.4987346306807,1727.63659765242,1730.2250335200729,1733.337763871241,1737.0546880652569,1741.4591436356218,1746.6354561327641,1752.6617551974193,1759.6028341826072,1767.5002059886385,1776.3578810779572,1786.1218094596165,1796.6649856987476,1807.7689851555301,1819.1091961752588,1819.1091961752588,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,16.409434220332695
13,21415.0,449044.5,1364803.4,29013.0,254.5,1583.4506653409721,1583.4488672354466,1583.4447579401738,1583.4377114861743,1583.426972332428,1583.4116293423187,1583.3905710799895,1583.3624461466968,1583.325623227227,1583.2781401864063,1583.2176383410335,1583.1412860290736,1583.0456748247084,1582.9267366706501,1582.7796778749034,1582.59873872104,1582.37716148459,1582.1070524244453,1581.7792606639616,1581.383387472196,1580.9077244055734,1580.3396177512943,1579.6658645706102,1578.873489568492,1577.9511574681062,1576.8917012477,1575.6947582157018,1574.3706260547344,1572.9448800450884,1572.9448800450884,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,7.766122947455415
14,21415.0,449088.7,1364833.6,29014.0,253.0,1456.8582929761803,1456.8710898621223,1456.9003198067053,1456.9503972981427,1457.026661040268,1457.1355608984359,1457.2848910518396,1457.4839700062041,1457.743886883918,1458.0777943022088,1458.5011632821686,1459.0320306276808,1459.691379551561,1460.5031943202744,1461.4941919013588,1462.694474545142,1464.1363921175657,1465.8537701392497,1467.8804690908428,1470.247738406303,1472.9814678470755,1476.096806786256,1479.5928624183762,1483.4463356928895,1487.6038735633879,1491.9734222115076,1496.4214508841374,1500.7726278675548,1504.8170861526862,1504.8170861526862,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,9.197835312041255
15,21415.0,449132.6,1364863.8,29015.0,251.4,1327.927445396924,1327.9797029142171,1328.0990744811634,1328.303614825727,1328.6151749686117,1329.0601819686572,1329.6706450543013,1330.4849613727392,1331.5489911646425,1332.9173688851304,1334.6547479578674,1336.8370917983805,1339.5536115362615,1342.9075351757833,1347.0157375394472,1352.0124372953917,1358.0458095107745,1365.2764087583312,1373.8731647063923,1384.004470585762,1395.8288684321258,1409.4738860653113,1425.0137932569028,1442.440198736495,1461.62287737946,1482.2594517040457,1503.8440979811564,1525.6402414839913,1546.6826891665487,1546.6826891665487,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,11.26280140955597
16,21415.0,449176.0,1364893.8,29016.0,249.8,1367.4716448100228,1367.5288460421334,1367.6595090833994,1367.8833993628043,1368.224441757616,1368.71157507605,1369.3798641192889,1370.2713968277371,1371.4364741487125,1372.9350671155537,1374.8382201087873,1377.2295207330405,1380.2072999791462,1383.8855887165198,1388.3938673074517,1393.881338542415,1400.5135101130313,1408.4708454037054,1417.9448681969302,1429.1289573841989,1442.2088062371743,1457.3398022033089,1474.623080050749,1494.0732672734528,1515.5746224564016,1538.8232184087553,1563.288228517785,1588.175022045954,1612.4181434065993,1612.4181434065993,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,11.193889621873218
17,21415.0,449219.0,1364923.3,29017.0,248.1,1617.4604801247401,1617.4421218169111,1617.4001892457813,1617.328344664068,1617.2189267400597,1617.0626879606496,1616.848443752625,1616.5627908246515,1616.189749108637,1615.7103366204622,1615.102168052879,1614.3390447827483,1613.3903458678212,1612.220855283601,1610.791010828145,1609.0557668624542,1606.965951723865,1604.4690110836705,1601.5105556157605,1598.0375274444218,1594.0012773180767,1589.364346147298,1584.106976765111,1578.2352421255462,1571.791408035757,1564.867069666381,1557.6095344929902,1550.2278212890335,1542.9923549781251,1542.9923549781251,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,11.701589119971354
18,21415.0,449263.1,1364953.1,29018.0,246.4,1567.4883102870174,1567.468458946101,1567.423118877866,1567.3454417260568,1567.227147977701,1567.058242759072,1566.826641374,1566.5178723792624,1566.114695128498,1565.596643391699,1564.9396017877714,1564.115382604793,1563.0910922290375,1561.8289757674652,1560.286730993418,1558.4163451110037,1556.1656447859132,1553.4792063060224,1550.300166557564,1546.573799993912,1542.251033454191,1537.2959408187048,1531.6929305552176,1525.4555944975891,1518.6378056597994,1511.3474560769926,1503.7525959496302,1496.0866192340513,1488.6459813730046,1488.6459813730046,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,3.340250817415301
19,21415.0,449307.6,1364982.8,29019.0,244.6,1555.6222107373137,1555.6538040930475,1555.7259639891952,1555.849596987786,1556.0379019639115,1556.3068315218125,1556.6756969836324,1557.1676582157118,1557.81036686805,1558.6367425839833,1559.6857105911054,1561.0029673178556,1562.6421279824247,1564.665160315952,1567.1421257019965,1570.1533731225265,1573.78746846674,1578.140230461182,1583.3123710175882,1589.4042662110712,1596.5106848103237,1604.7086535691078,1614.0450974645585,1624.5206626851655,1636.0682233862547,1648.5249274070052,1661.615234558703,1674.9347344062137,1687.9478972861993,1687.9478972861993,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,14.73278398914551
